window,k,strategy,split,n,mean_block_rate,median_block_rate
time:24h,10,outdegree_obs,nonrumor,1049,0.1614,0.05
time:24h,10,greedy_oracle,all,2336,0.3276,0.2407
time:24h,10,greedy_oracle,rumor,1287,0.3712,0.3052
time:24h,10,greedy_oracle,nonrumor,1049,0.274,0.1818
prefix:20,1,random,all,4435,0.0072,0.0
prefix:20,1,random,rumor,2162,0.0132,0.0011
prefix:20,1,random,nonrumor,2273,0.0016,0.0
prefix:20,1,earliest,all,4435,0.0131,0.0
prefix:20,1,earliest,rumor,2162,0.0237,0.0
prefix:20,1,earliest,nonrumor,2273,0.003,0.0
prefix:20,1,followers,all,4435,0.0413,0.0
prefix:20,1,followers,rumor,2162,0.067,0.0012
prefix:20,1,followers,nonrumor,2273,0.0169,0.0
prefix:20,1,outdegree_obs,all,4435,0.0433,0.0
prefix:20,1,outdegree_obs,rumor,2162,0.0737,0.0025
prefix:20,1,outdegree_obs,nonrumor,2273,0.0143,0.0
prefix:20,1,greedy_oracle,all,4435,0.0653,0.0066
prefix:20,1,greedy_oracle,rumor,2162,0.1103,0.0274
prefix:20,1,greedy_oracle,nonrumor,2273,0.0224,0.0009
prefix:20,5,random,all,4435,0.0314,0.002
prefix:20,5,random,rumor,2162,0.0549,0.0125
prefix:20,5,random,nonrumor,2273,0.0091,0.0
prefix:20,5,earliest,all,4435,0.0366,0.0
prefix:20,5,earliest,rumor,2162,0.0651,0.0052
prefix:20,5,earliest,nonrumor,2273,0.0094,0.0
prefix:20,5,followers,all,4435,0.0646,0.0043
prefix:20,5,followers,rumor,2162,0.1086,0.0222
prefix:20,5,followers,nonrumor,2273,0.0229,0.0
prefix:20,5,outdegree_obs,all,4435,0.0593,0.0002
prefix:20,5,outdegree_obs,rumor,2162,0.1033,0.0157
prefix:20,5,outdegree_obs,nonrumor,2273,0.0175,0.0
prefix:20,5,greedy_oracle,all,4435,0.0824,0.0095
prefix:20,5,greedy_oracle,rumor,2162,0.1417,0.0502
prefix:20,5,greedy_oracle,nonrumor,2273,0.026,0.0012
